locus	CF39 Log2FoldChange_25vs37	CF39 padj_25vs37	CF39 Log2FoldChange_29vs37	CF39 padj_29vs37	gene	product	locusNumber
PROKKA_01448_antis	0.609642398197915	0.00316295318209843	NA	NA	n/a	"hypothetical protein"	PROKKA_01448
PROKKA_01465_sense	NA	NA	-0.650443492522178	0.00400906747377557	imm2	"pyocin S2 immunity protein"	PROKKA_01465
PROKKA_01466_sense	-1.10406893064373	2.66854936459719e-09	-1.00420170070976	1.67950490586712e-08	pys2_1	"pyocin S2"	PROKKA_01466
PROKKA_01492_sense	-0.928487162907671	0.00660673630246248	NA	NA	yaaA	"YaaA-like protein"	PROKKA_01492
PROKKA_01495_igbot	0.757325051640364	0.00744565775413155	NA	NA	n/a	"hypothetical protein"	PROKKA_01495
PROKKA_01499_antis	-2.08032081590222	1.10910763991238e-06	NA	NA	n/a	"putative integral membrane transport protein"	PROKKA_01499
PROKKA_01499_sense	-2.82740588751142	0.0103008811913907	NA	NA	n/a	"putative integral membrane transport protein"	PROKKA_01499
PROKKA_01500_igbot	-1.38162183748459	0.0469769369190856	NA	NA	bfrB_1	"bacterioferritin"	PROKKA_01500
PROKKA_01501_antis	NA	NA	-1.61425699744283	0.0394901184488953	bfd	"hypothetical protein"	PROKKA_01501
PROKKA_01501_igbot	2.5260144170257	0.0086427215906807	2.59495253384648	0.0106187695888474	bfd	"hypothetical protein"	PROKKA_01501
PROKKA_01501_sense	2.03931315517423	0.0214202355618191	2.75598844434433	0.01131963057296	bfd	"hypothetical protein"	PROKKA_01501
PROKKA_01504_sense	-0.74883607639658	0.00447262665572562	NA	NA	pyrC	"dihydroorotase"	PROKKA_01504
PROKKA_01506_sense	-0.398978682692104	0.0461512744428406	NA	NA	argG	"argininosuccinate synthase"	PROKKA_01506
PROKKA_01512_igtop	1.00295413005251	0.000667810976523444	NA	NA	n/a	"Pyrroloquinoline quinone (Coenzyme PQQ) biosynthesis protein C"	PROKKA_01512
PROKKA_01517_igbot	1.93231332205731	0.0405157705158793	NA	NA	n/a	"leucyl-tRNA synthetase"	PROKKA_01517
PROKKA_01517_sense	1.85944749226591	1.14899980417548e-27	1.72112217167828	8.12640327758378e-20	n/a	"leucyl-tRNA synthetase"	PROKKA_01517
PROKKA_01527_igbot	NA	NA	-1.9827935560846	0.0264831961105642	n/a	"putative lipoprotein"	PROKKA_01527
PROKKA_01538_sense	0.78371569925721	0.00782762173752722	NA	NA	n/a	"putative lipoprotein"	PROKKA_01538
PROKKA_01544_sense	NA	NA	-0.974109153107458	0.000327819459336866	dbpA_2	"RNA helicase DbpA"	PROKKA_01544
PROKKA_01571_sense	0.609928267285246	0.0045161805253911	0.545607654428721	0.0491398894079055	n/a	"hypothetical protein"	PROKKA_01571
PROKKA_01600_antis	2.90617254993432	0.0211409551584099	NA	NA	n/a	"hypothetical protein"	PROKKA_01600
PROKKA_01601_igtop	2.5758698654219	0.00451580204886064	2.46052309217887	0.015462280886126	fpvI_1	"FpvI"	PROKKA_01601
PROKKA_01601_sense	1.75434126461886	9.09585099061255e-05	1.66871366685216	0.000867726734104541	fpvI_1	"FpvI"	PROKKA_01601
PROKKA_01646_antis	1.28682175409897	4.2945359194318e-09	0.734537134024116	0.027180349210878	n/a	"yd repeat-containing protein"	PROKKA_01646
PROKKA_01647_sense	0.597493574485288	0.000658672099447497	NA	NA	n/a	"yd repeat-containing protein"	PROKKA_01647
PROKKA_01648_igtop	0.806071641702119	3.02009864392928e-05	NA	NA	n/a	"hypothetical protein"	PROKKA_01648
PROKKA_01659_sense	NA	NA	-1.27395023143317	0.039004936446516	pauA5	"Glutamylpolyamine synthetase"	PROKKA_01659
PROKKA_01665_sense	NA	NA	0.628849104001518	0.0100500206734606	flgA	"flagellar basal body P-ring biosynthesis protein FlgA"	PROKKA_01665
PROKKA_01666_sense	NA	NA	-0.495559195463067	0.0461549933122741	chpA_5	"component of chemotactic signal transduction system"	PROKKA_01666
PROKKA_01667_igtop	-1.08350982143352	0.01558416315721	NA	NA	pilK_4	"methyltransferase PilK"	PROKKA_01667
PROKKA_01667_sense	-0.55820535742743	0.0399595796992465	-0.692588436109906	0.0294074755042681	pilK_4	"methyltransferase PilK"	PROKKA_01667
PROKKA_01675_sense	NA	NA	-1.17704384448854	0.014846312156884	fimV_1	"Motility protein FimV"	PROKKA_01675
PROKKA_01706_sense	1.32724230287075	0.0100028853014764	NA	NA	n/a	"hypothetical protein"	PROKKA_01706
PROKKA_01711_antis	0.760112603977041	0.0298058016090531	NA	NA	n/a	"P20"	PROKKA_01711
PROKKA_01711_igtop	1.66450698997728	0.00479032441570952	NA	NA	n/a	"P20"	PROKKA_01711
PROKKA_01711_sense	3.21131007993235	9.64000468650928e-08	NA	NA	n/a	"P20"	PROKKA_01711
PROKKA_01712_sense	2.83302502089705	1.93097599460707e-06	NA	NA	n/a	"hypothetical protein"	PROKKA_01712
PROKKA_01719_sense	-0.819366734150933	0.0107806515038576	NA	NA	n/a	"putative lysophospholipase"	PROKKA_01719
PROKKA_01721_sense	-0.64461845657009	0.000548555138582068	NA	NA	fadD1_2	"long-chain-fatty-acid--CoA ligase"	PROKKA_01721
PROKKA_01741_igbot	1.43505046153542	5.46608791499788e-06	NA	NA	oprP	"Phosphate-specific outer membrane porin OprP precursor"	PROKKA_01741
PROKKA_01752_igtop	NA	NA	1.48605965219114	0.0253695304408956	fecA_2	"Fe(III) dicitrate transport protein FecA"	PROKKA_01752
PROKKA_01753_antis	-1.42665591004418	0.00340630906194936	NA	NA	n/a	"putative acetyltransferase"	PROKKA_01753
PROKKA_01754_antis	-2.73959461854895	3.47282156185582e-19	-1.25400309295033	0.00135933978822442	n/a	"cspA"	PROKKA_01754
PROKKA_01754_sense	-1.20861565534949	3.79739043686869e-07	NA	NA	n/a	"cspA"	PROKKA_01754
PROKKA_01755_antis	-2.76082331115844	2.68355075305213e-16	-1.12612845987825	0.00901689049301131	capB_2	"cold acclimation protein B"	PROKKA_01755
PROKKA_01755_sense	-2.03776866335892	7.39225221058897e-23	-1.44477282672225	9.27526760728388e-10	capB_2	"cold acclimation protein B"	PROKKA_01755
PROKKA_01756_igbot	-1.19069558015618	9.68197440972326e-07	NA	NA	n/a	"SMR multidrug efflux transporter"	PROKKA_01756
PROKKA_01756_igtop	-2.13336845919538	0.00784129203741208	NA	NA	n/a	"SMR multidrug efflux transporter"	PROKKA_01756
PROKKA_01761_igtop	-0.431745839767758	0.0468989352673891	-0.512161829677859	0.0362994068257226	fklB_2	"peptidyl-prolyl cis-trans isomerase FklB"	PROKKA_01761
PROKKA_01761_sense	-0.837891573009439	3.15714604082986e-06	-0.627765584559521	0.0050294209780459	fklB_2	"peptidyl-prolyl cis-trans isomerase FklB"	PROKKA_01761
PROKKA_01763_antis	-1.7402978804017	0.045767531078654	-2.1881376615105	0.0054112347497265	n/a	"putative periplasmic binding protein"	PROKKA_01763
PROKKA_01764_igtop	1.15528750256056	0.00134133353997316	NA	NA	n/a	"putative transcriptional regulator"	PROKKA_01764
PROKKA_01767_antis	NA	NA	-1.35827442143373	0.00172262645412943	bifA_1	"BifA"	PROKKA_01767
PROKKA_01768_antis	-2.56926296591982	0.00265751840892	-2.68811029384049	0.00077318955887989	prc_1	"periplasmic tail-specific protease"	PROKKA_01768
PROKKA_01768_sense	-0.627729607223723	0.000425699265177825	NA	NA	prc_1	"periplasmic tail-specific protease"	PROKKA_01768
PROKKA_01778_sense	-1.01113487931198	0.00278259566482622	NA	NA	n/a	"putative aminopeptidase 2"	PROKKA_01778
PROKKA_01801_igtop	-1.29788764024759	0.00660776070433549	NA	NA	n/a	"3-phosphoglycerate kinase"	PROKKA_01801
PROKKA_01804_sense	-1.50546471691377	0.00117100658573926	NA	NA	csaA	"CsaA protein"	PROKKA_01804
PROKKA_01814_sense	0.66482499908293	0.0478218668806046	NA	NA	n/a	"ABC transporter permease"	PROKKA_01814
PROKKA_01827_sense	-0.651960365985233	0.0380460405910059	NA	NA	n/a	"chromosome segregation and condensation protein ScpA"	PROKKA_01827
PROKKA_01828_sense	-0.760818356764382	0.0498432704830046	NA	NA	n/a	"putative transcriptional regulator"	PROKKA_01828
PROKKA_01847_sense	-1.03244507317367	9.08907736406836e-07	-0.878796479031177	0.000500904071702124	n/a	"putative pseudouridine synthase"	PROKKA_01847
PROKKA_01853_sense	-0.852864607385916	0.0378002257762873	NA	NA	fabG_9	"3-oxoacyl-[acyl-carrier-protein] reductase"	PROKKA_01853
PROKKA_01856_igbot	NA	NA	-0.841587660099815	0.0374273523558959	hutI_1	"imidazolone-5-propionate hydrolase HutI"	PROKKA_01856
PROKKA_01863_sense	-0.500690235673779	0.0237915434222652	NA	NA	n/a	"bifunctional cyclohexadienyl dehydrogenase/ 3-phosphoshikimate 1-carboxyvinyltransferase"	PROKKA_01863
PROKKA_01865_antis	-1.25645174362668	0.000107969734046364	NA	NA	rpsA_1	"30S ribosomal protein S1"	PROKKA_01865
PROKKA_01865_igbot	-1.62714269723177	0.00442295391033559	NA	NA	rpsA_1	"30S ribosomal protein S1"	PROKKA_01865
PROKKA_01865_igtop	-0.366188237808992	0.0347675052139273	NA	NA	rpsA_1	"30S ribosomal protein S1"	PROKKA_01865
PROKKA_01867_antis	0.688053985387717	7.47665691231101e-06	NA	NA	wzz_1	"O-antigen chain length regulator"	PROKKA_01867
PROKKA_01867_sense	0.422366240233217	0.0142479307497745	NA	NA	wzz_1	"O-antigen chain length regulator"	PROKKA_01867
PROKKA_01868_igbot	-1.08706580117634	0.0425590359307609	NA	NA	n/a	"putative transporter-like membrane protein"	PROKKA_01868
PROKKA_01868_sense	0.447069588538054	0.0121233520782224	0.506589691374218	0.0467716037309866	n/a	"putative transporter-like membrane protein"	PROKKA_01868
PROKKA_01869_igtop	0.918690140446843	0.0442239584018217	NA	NA	n/a	"hypothetical protein"	PROKKA_01869
PROKKA_01870_sense	0.477425235637986	0.009357427418696	NA	NA	rhlC_1	"rhamnosyltransferase 2"	PROKKA_01870
PROKKA_01873_antis	-0.789156650777122	0.00218203100903649	NA	NA	n/a	"protein WbjC"	PROKKA_01873
PROKKA_01874_antis	-0.700025035942622	0.00845226032260992	NA	NA	wbpI	"UDP-N-acetylglucosamine 2-epimerase WbpI"	PROKKA_01874
PROKKA_01874_sense	-0.514997458575393	0.00533439283789418	NA	NA	wbpI	"UDP-N-acetylglucosamine 2-epimerase WbpI"	PROKKA_01874
PROKKA_01875_sense	-0.395564727402488	0.0475111735231272	NA	NA	n/a	"glycosyltransferase"	PROKKA_01875
PROKKA_01876_antis	-0.669496596826073	0.0149471863638828	NA	NA	rmd_1	"oxidoreductase Rmd"	PROKKA_01876
PROKKA_01878_sense	-0.637141937388459	0.000257680172876873	NA	NA	wbpM_2	"nucleotide sugar epimerase/dehydratase WbpM"	PROKKA_01878
PROKKA_01882_igbot	NA	NA	0.980799876622134	0.00387901392284049	uvrB	"excinuclease ABC subunit B"	PROKKA_01882
PROKKA_01885_sense	0.743045542908216	0.00523503194804076	NA	NA	bexR_8	"bistable expression regulator BexR"	PROKKA_01885
PROKKA_01887_igtop	NA	NA	1.20451813068523	3.59784877466437e-06	n/a	"tRNA-Ala"	PROKKA_01887
PROKKA_01887_sense	NA	NA	1.04637503423973	0.000402182144932322	n/a	"tRNA-Ala"	PROKKA_01887
PROKKA_01888_igtop	NA	NA	0.783163483451924	0.0399454816691179	n/a	"tRNA-Glu"	PROKKA_01888
PROKKA_01907_sense	-0.636423147936897	0.0327227431661282	NA	NA	asd	"aspartate semialdehyde dehydrogenase"	PROKKA_01907
PROKKA_01933_antis	-2.17317851544608	0.020232187942636	-3.12353474406427	0.000128032703821657	oruR_3	"transcriptional regulator OruR"	PROKKA_01933
PROKKA_01933_igtop	-1.18423833804788	0.0192623255920608	NA	NA	oruR_3	"transcriptional regulator OruR"	PROKKA_01933
PROKKA_01934_antis	NA	NA	-2.80466556123086	0.0025491016636996	n/a	"Nitrilase/cyanide hydratase and apolipoprotein N-acyltransferase"	PROKKA_01934
PROKKA_01935_sense	-1.21806931081533	0.0131890217043595	-2.52481691439046	6.63201714113529e-14	fadH1_1	"2-4-dienoyl-CoA reductase FadH1"	PROKKA_01935
PROKKA_01943_sense	NA	NA	-0.704249599660346	0.00318289789774397	n/a	"hypothetical protein"	PROKKA_01943
PROKKA_01964_sense	1.42430300963255	5.04713125768151e-05	NA	NA	pelA	"PelA"	PROKKA_01964
PROKKA_01965_sense	1.1918891151824	0.000778719859618124	NA	NA	pelB	"PelB"	PROKKA_01965
PROKKA_01968_sense	1.45912787107745	0.0462302783031102	NA	NA	pelE	"PelE"	PROKKA_01968
PROKKA_01970_antis	1.26520320787292	0.0378663819799606	NA	NA	pelG	"PelG"	PROKKA_01970
PROKKA_01972_igtop	1.10840295548918	0.012687111643972	NA	NA	n/a	"hypothetical protein"	PROKKA_01972
PROKKA_01982_sense	-0.585547016808822	0.0299825442034493	NA	NA	n/a	"putative D-alanyl-D-alanine carboxypeptidase"	PROKKA_01982
PROKKA_01983_sense	-1.04534874127011	0.000119884972546917	NA	NA	n/a	"hypothetical protein"	PROKKA_01983
PROKKA_02010_igbot	-0.818362479806552	0.00521410151603189	NA	NA	mltD_1	"membrane-bound lytic murein transglycosylase D precursor"	PROKKA_02010
PROKKA_02016_igbot	0.63000793852798	0.0261178273528414	NA	NA	faoA_4	"fatty-acid oxidation complex alpha-subunit"	PROKKA_02016
PROKKA_02016_sense	-0.589726357458644	0.00506096379042104	-0.531926913382477	0.0461549933122741	faoA_4	"fatty-acid oxidation complex alpha-subunit"	PROKKA_02016
PROKKA_02018_sense	NA	NA	-1.011522200367	0.0147342927625505	n/a	"TonB box-like protein"	PROKKA_02018
PROKKA_02030_sense	-1.23735468392346	1.67735903386514e-06	-0.729744915833949	0.035760717153711	aroP1_2	"aromatic amino acid transport protein AroP1"	PROKKA_02030
PROKKA_02048_igtop	NA	NA	0.759568411960633	0.0362994068257226	exbB1_2	"transport protein ExbB"	PROKKA_02048
PROKKA_02055_sense	NA	NA	-0.616375329716033	0.0019937029175282	rne	"ribonuclease E"	PROKKA_02055
PROKKA_02056_sense	-0.39982816853157	0.0299949257985254	NA	NA	n/a	"rne-II"	PROKKA_02056
PROKKA_02062_sense	-0.710875848393347	0.0167927205168969	NA	NA	rpmF	"50S ribosomal protein L32"	PROKKA_02062
PROKKA_02065_igtop	1.1784766900928	0.0480905798848913	NA	NA	fabG_12	"3-oxoacyl-[acyl-carrier-protein] reductase"	PROKKA_02065
PROKKA_02065_sense	NA	NA	-0.948823006750333	0.00173139540349547	fabG_12	"3-oxoacyl-[acyl-carrier-protein] reductase"	PROKKA_02065
PROKKA_02066_antis	-1.58272759991144	0.00995086050150379	NA	NA	acpP_1	"acyl carrier protein"	PROKKA_02066
PROKKA_02066_igbot	NA	NA	-1.26663285800385	0.0119673424683303	acpP_1	"acyl carrier protein"	PROKKA_02066
PROKKA_02066_igtop	0.359512474653711	0.0423336691738405	NA	NA	acpP_1	"acyl carrier protein"	PROKKA_02066
PROKKA_02072_igtop	0.47191392885914	0.0192623255920608	NA	NA	pilZ	"type 4 fimbrial biogenesis protein PilZ"	PROKKA_02072
PROKKA_02076_igtop	-0.584777212880788	0.0122238744615668	NA	NA	atuR_1	"putative repressor of atu genes"	PROKKA_02076
PROKKA_02076_sense	-0.707480272605678	0.000206304269298704	NA	NA	atuR_1	"putative repressor of atu genes"	PROKKA_02076
PROKKA_02081_sense	-0.453432611935209	0.0185049262649526	NA	NA	n/a	"N-6 DNA methylase"	PROKKA_02081
PROKKA_02083_sense	-0.489079621534215	0.0266882093145331	NA	NA	n/a	"hypothetical protein"	PROKKA_02083
PROKKA_02084_sense	-0.573873239873248	0.0123080243973404	NA	NA	n/a	"type I restriction-modification system subunit R"	PROKKA_02084
PROKKA_02086_antis	0.810849155950145	0.0431382067822485	NA	NA	n/a	"hypothetical protein"	PROKKA_02086
PROKKA_02086_sense	1.54863557298022	5.05895054489361e-11	1.54757479296911	4.15226371608547e-10	n/a	"hypothetical protein"	PROKKA_02086
PROKKA_02092_igbot	0.889334732262963	2.73688994354292e-05	NA	NA	n/a	"hypothetical protein"	PROKKA_02092
PROKKA_02092_sense	0.755974791671744	0.00079834815993376	0.589384734387273	0.0381921625606733	n/a	"hypothetical protein"	PROKKA_02092
PROKKA_02093_sense	1.14128720826387	7.58243872851021e-10	0.87757625119352	4.71064689473313e-05	n/a	"transcriptional regulator"	PROKKA_02093
PROKKA_02094_sense	0.616902115940263	0.000895918428434275	NA	NA	n/a	"hypothetical protein"	PROKKA_02094
PROKKA_02095_sense	0.545566139876643	0.00773908278203684	NA	NA	n/a	"ThiF family protein"	PROKKA_02095
PROKKA_02096_antis	0.936071341108093	0.00671925137733575	NA	NA	n/a	"hypothetical protein"	PROKKA_02096
PROKKA_02096_igtop	0.94494323321775	0.00140001611747163	NA	NA	n/a	"hypothetical protein"	PROKKA_02096
PROKKA_02096_sense	0.934760395794865	1.40114937350123e-06	NA	NA	n/a	"hypothetical protein"	PROKKA_02096
PROKKA_02097_igbot	1.02426067697642	0.00445808781266671	NA	NA	n/a	"hypothetical protein"	PROKKA_02097
PROKKA_02097_igtop	0.570632972770516	0.00830321711676588	0.563027646027107	0.0284778932815861	n/a	"hypothetical protein"	PROKKA_02097
PROKKA_02098_igtop	0.646357449383915	0.0284898495175715	NA	NA	n/a	"putative oxidase"	PROKKA_02098
PROKKA_02101_sense	-0.498354557299989	0.0134373950113685	NA	NA	n/a	"electron transfer flavoprotein-ubiquinone oxidoreductase"	PROKKA_02101
PROKKA_02102_igtop	-0.462991377924329	0.0360798331079767	NA	NA	etfB	"electron transfer flavoprotein beta-subunit"	PROKKA_02102
PROKKA_02106_igtop	0.935579717954194	0.0318722361869956	NA	NA	n/a	"hypothetical protein"	PROKKA_02106
PROKKA_02106_sense	1.02882240919083	8.16456753225843e-11	NA	NA	n/a	"hypothetical protein"	PROKKA_02106
PROKKA_02107_igbot	1.0316916468099	1.51784433767189e-07	NA	NA	rep_1	"ATP-dependent DNA helicase Rep"	PROKKA_02107
PROKKA_02107_sense	0.60328342603976	0.000375740018742284	NA	NA	rep_1	"ATP-dependent DNA helicase Rep"	PROKKA_02107
PROKKA_02108_sense	0.366300313581818	0.0365700659061923	NA	NA	n/a	"SMC domain-containing protein"	PROKKA_02108
PROKKA_02109_igbot	0.609952260630292	0.00637861067266253	0.58197047786458	0.0221913063491252	n/a	"hypothetical protein"	PROKKA_02109
PROKKA_02109_sense	0.847312882075826	2.72230239677453e-08	NA	NA	n/a	"hypothetical protein"	PROKKA_02109
PROKKA_02110_igbot	0.813860558116738	1.91465015671086e-06	NA	NA	n/a	"hypothetical protein"	PROKKA_02110
PROKKA_02124_igbot	-0.934058117394203	7.80166334754966e-05	NA	NA	n/a	"hypothetical protein"	PROKKA_02124
PROKKA_02124_sense	-0.594553344329664	0.00280457627792373	NA	NA	n/a	"hypothetical protein"	PROKKA_02124
PROKKA_02125_sense	-0.703018394918991	0.00109822832405427	NA	NA	n/a	"small multidrug resistance protein"	PROKKA_02125
PROKKA_02126_igbot	-0.722438127008571	5.44988720175193e-05	-0.56688010937851	0.0183939019906704	triC_3	"Resistance-Nodulation-Cell Division (RND) triclosan efflux transporter TriC"	PROKKA_02126
PROKKA_02126_sense	-0.587600822923388	0.000150909434736081	-0.42128252309763	0.0401620230067971	triC_3	"Resistance-Nodulation-Cell Division (RND) triclosan efflux transporter TriC"	PROKKA_02126
PROKKA_02127_sense	-0.726677139693009	5.43442126283915e-06	-0.574357898407909	0.0069121424447873	triB_2	"Resistance-Nodulation-Cell Division (RND) triclosan efflux membrane fusion protein TriB"	PROKKA_02127
PROKKA_02129_antis	0.668853467245694	0.0224709269074503	NA	NA	n/a	"hypothetical protein"	PROKKA_02129
PROKKA_02130_antis	0.666491704845349	0.00404098609478116	NA	NA	n/a	"hypothetical protein"	PROKKA_02130
PROKKA_02131_igtop	0.91867950634435	0.000207714835171171	NA	NA	catR_3	"transcriptional regulator CatR"	PROKKA_02131
PROKKA_02131_sense	0.895482699171	2.35791683894648e-05	NA	NA	catR_3	"transcriptional regulator CatR"	PROKKA_02131
PROKKA_02132_sense	0.837551637895373	0.0276195158055274	NA	NA	n/a	"putative lipoprotein"	PROKKA_02132
PROKKA_02153_sense	-1.47560507581367	0.0170718769703056	NA	NA	n/a	"Cobalamin"	PROKKA_02153
PROKKA_02154_sense	-0.774657810494568	0.0193078719214938	-0.851850059236094	0.0262762248311671	n/a	"putative cobalamin biosynthesis protein cobW"	PROKKA_02154
PROKKA_02157_igbot	0.982624454047877	0.000767776545004962	NA	NA	n/a	"P15"	PROKKA_02157
PROKKA_02226_igtop	1.48748633914963	0.0118965595193781	NA	NA	bexR_10	"bistable expression regulator BexR"	PROKKA_02226
PROKKA_02240_igtop	-0.952003590797531	0.00274338180446365	NA	NA	n/a	"DoxX family protein"	PROKKA_02240
PROKKA_02244_igtop	NA	NA	0.775178986051268	0.0103551336816703	n/a	"hypothetical protein"	PROKKA_02244
PROKKA_02252_igbot	-1.2113524976003	0.00598897054027282	NA	NA	n/a	"P14"	PROKKA_02252
PROKKA_02252_sense	-2.40675606955754	2.62770811182072e-09	NA	NA	n/a	"P14"	PROKKA_02252
PROKKA_02253_igbot	-0.991206796258259	0.00298060047369226	NA	NA	n/a	"tRNA-Ser"	PROKKA_02253
PROKKA_02255_antis	-1.24478432582291	0.0111767840792386	NA	NA	efp	"translation elongation factor P"	PROKKA_02255
PROKKA_02255_igtop	0.679078182522482	0.0183691146537643	NA	NA	efp	"translation elongation factor P"	PROKKA_02255
PROKKA_02266_igtop	-0.920918814946181	1.77483980907812e-05	NA	NA	dbpA_3	"RNA helicase DbpA"	PROKKA_02266
PROKKA_02266_sense	-1.22725022953991	5.63538118824082e-09	-0.859390838894771	0.0024630408593529	dbpA_3	"RNA helicase DbpA"	PROKKA_02266
PROKKA_02275_sense	-1.21101100079308	0.00543536759288687	NA	NA	n/a	"putative zinc carboxypeptidase"	PROKKA_02275
PROKKA_02287_igtop	NA	NA	0.746927101666167	0.00203399373537049	n/a	"tRNA-Glu"	PROKKA_02287
PROKKA_02290_sense	-1.20884227807682	0.00201816632774585	-0.972683767773379	0.0470734603254046	arr_2	"aminoglycoside response regulator"	PROKKA_02290
PROKKA_02293_antis	-2.7713070883851	0.00471617177022253	-3.34723781324139	0.000227300333999701	liuA_5	"putative isovaleryl-CoA dehydrogenase"	PROKKA_02293
PROKKA_02303_sense	NA	NA	0.834506575563337	0.00735569781013451	n/a	"Chromosome segregation ATPase"	PROKKA_02303
PROKKA_02308_igtop	-0.838841908835088	1.63871227133313e-05	NA	NA	vacJ_2	"VacJ"	PROKKA_02308
PROKKA_02308_sense	-0.538287485187643	0.00798785503677662	NA	NA	vacJ_2	"VacJ"	PROKKA_02308
PROKKA_02343_igtop	0.842797380661478	0.00734198158683901	0.856943719511949	0.0313922538967838	n/a	"hypothetical protein"	PROKKA_02343
PROKKA_02343_sense	0.78607846701777	0.0098804989498268	0.821067760256314	0.0250920181102767	n/a	"hypothetical protein"	PROKKA_02343
PROKKA_02357_igbot	NA	NA	-1.80935680349575	0.0407377373941312	oprQ	"OprQ"	PROKKA_02357
PROKKA_02357_sense	-0.434136425657404	0.0125423197475124	NA	NA	oprQ	"OprQ"	PROKKA_02357
PROKKA_02361_igtop	-1.11614501215874	0.000913840788311562	NA	NA	n/a	"3-isopropylmalate dehydratase large subunit"	PROKKA_02361
PROKKA_02373_sense	1.23635108523995	0.00124723384907842	NA	NA	endA	"DNA-specific endonuclease I"	PROKKA_02373
PROKKA_02383_sense	0.397119245573497	0.0246791514096582	NA	NA	thrS	"threonyl-tRNA synthetase"	PROKKA_02383
PROKKA_02384_antis	-1.09528312399838	2.94178381357227e-05	-1.26386432712554	0.000118207979340134	infC	"translation initiation factor IF-3"	PROKKA_02384
PROKKA_02385_antis	-2.35242390818824	5.92772936939083e-09	-1.76295219253354	0.000855267929108814	rpmI	"50S ribosomal protein L35"	PROKKA_02385
PROKKA_02385_sense	-0.827107116657534	2.85407946384668e-05	NA	NA	rpmI	"50S ribosomal protein L35"	PROKKA_02385
PROKKA_02386_antis	-1.93921992853856	0.0210811604985089	NA	NA	rplT	"50S ribosomal protein L20"	PROKKA_02386
PROKKA_02386_igtop	-0.971594736721949	0.000370395079422134	-0.72154112503559	0.0281028816951731	rplT	"50S ribosomal protein L20"	PROKKA_02386
PROKKA_02386_sense	-0.647649633530033	5.76629475600084e-05	-0.783952563787823	2.00505767196386e-05	rplT	"50S ribosomal protein L20"	PROKKA_02386
PROKKA_02387_sense	-0.510883028782459	0.0278679414178037	NA	NA	pheS	"phenylalanyl-tRNA synthetase alpha-subunit"	PROKKA_02387
PROKKA_02391_igtop	NA	NA	0.987559735399953	0.00153450739692375	n/a	"tRNA-Pro"	PROKKA_02391
PROKKA_02391_sense	0.595166461998026	0.0440588495735081	0.717654340393281	0.0264831961105642	n/a	"tRNA-Pro"	PROKKA_02391
PROKKA_02392_antis	-0.789968956591343	0.00283564150929461	NA	NA	n/a	"insertion sequence IS407 OrfB"	PROKKA_02392
PROKKA_02393_antis	0.710502318592887	0.0138633767909671	NA	NA	n/a	"hypothetical protein"	PROKKA_02393
PROKKA_02393_sense	NA	NA	-0.69721604848301	0.00751857283546134	n/a	"hypothetical protein"	PROKKA_02393
PROKKA_02400_antis	NA	NA	-1.86283786627639	0.0416085561438879	ppkA_2	"serine/threonine protein kinase PpkA"	PROKKA_02400
PROKKA_02402_antis	NA	NA	-3.92039680157571	0.000303337044661631	clpB_3	"ClpB protein"	PROKKA_02402
PROKKA_02418_sense	0.741702654243884	0.00312094783143376	NA	NA	cysK	"cysteine synthase A"	PROKKA_02418
PROKKA_02429_igtop	NA	NA	-1.06561533538199	0.00129008333247645	n/a	"putative hydrolase"	PROKKA_02429
PROKKA_02438_sense	3.9388417207092	1.2437414744042e-06	NA	NA	pfeA_1	"Ferric enterobactin receptor outer membrane protein PfeA precursor"	PROKKA_02438
PROKKA_02439_sense	3.52563430372594	2.17949832459273e-07	2.27410796003325	0.00101620277928554	pfeS_2	"two-component sensor PfeS"	PROKKA_02439
PROKKA_02440_sense	3.60886580662033	3.83032353037929e-05	2.72705746951235	0.00212137373465066	pfeR	"two-component response regulator PfeR"	PROKKA_02440
PROKKA_02450_antis	1.31218136911129	0.00245885220318487	NA	NA	xcpR_2	"general secretion pathway protein E"	PROKKA_02450
PROKKA_02459_igbot	-1.48324147654884	0.0495550088454412	NA	NA	n/a	"hypothetical protein"	PROKKA_02459
PROKKA_02460_sense	NA	NA	0.810486994751407	3.84756357571309e-05	mvaU	"MvaU"	PROKKA_02460
PROKKA_02461_igbot	-0.649583468427258	0.00350977776722794	NA	NA	n/a	"putative 6-pyruvoyl tetrahydrobiopterin synthase"	PROKKA_02461
PROKKA_02461_igtop	0.818945456061473	0.0291023748712985	NA	NA	n/a	"putative 6-pyruvoyl tetrahydrobiopterin synthase"	PROKKA_02461
PROKKA_02461_sense	-0.573674817276026	0.00478561686374408	NA	NA	n/a	"putative 6-pyruvoyl tetrahydrobiopterin synthase"	PROKKA_02461
PROKKA_02476_sense	NA	NA	-0.814903966810156	0.0102183418335553	pctB_2	"chemotactic transducer PctB"	PROKKA_02476
PROKKA_02480_sense	-0.69112457700318	0.00508272779368948	NA	NA	nuoM	"NADH dehydrogenase I chain M"	PROKKA_02480
PROKKA_02488_sense	NA	NA	-0.698494692626311	0.00310434772111782	nuoE	"NADH dehydrogenase I chain E"	PROKKA_02488
PROKKA_02495_sense	-0.878544365762654	0.0202773416196375	-0.893475231838815	0.0327073044177619	n/a	"putative secretion system protein"	PROKKA_02495
